ID_Experimento,Nome_Experimento,Modo,Lookback_Dias,Lookback_Label,Tamanho_Carteira_Pct,Fracao_Decimal,Frequencia,Custo_Bps,Retorno_Total_Pct,CAGR_Pct,Volatilidade_Anualizada_Pct,Indice_Sharpe,Indice_Sortino,Indice_Calmar,Alpha_Anualizado_Pct,Beta_Ibov,Max_Drawdown_Pct,Max_Duracao_DD_Dias,Win_Rate_Pct,Turnover_Medio_Ciclo_Pct,Custo_Total_Estimado_Pct,N_Ativos_Medio,Num_Rebalanceamentos,Alertas_Risco
EXP_063,Long-Only | 126d (6M) | 20% | Mensal | 15 bps,Long-Only,126,126d (6M),20%,0.2,Mensal,15.0,170.33958759670753,12.624392796702777,17.29980524584013,0.20122587043233164,0.19296331638885658,0.3704952466539398,3.450804603195997,0.6548892094781671,-34.074371832615064,331,55.012224938875306,11.482087238324715,1.7567593474636796,18.95098039215686,102,✅ Robusto
EXP_064,Long-Only | 126d (6M) | 20% | Mensal | 25 bps,Long-Only,126,126d (6M),20%,0.2,Mensal,25.0,167.32844035508623,12.473689072621298,17.299148619478196,0.19252188174581839,0.18464833281366247,0.3658276041481938,3.3001021373860135,0.6548620709330876,-34.09717837358251,331,54.52322738386308,11.482087238324715,2.927932245772799,18.95098039215686,102,✅ Robusto
EXP_065,Long-Only | 126d (6M) | 30% | Trimestral | 0 bps,Long-Only,126,126d (6M),30%,0.3,Trimestral,0.0,155.38455216136043,12.097384245260766,17.45799209131636,0.16647339593315436,0.15816116065924823,0.3381287569069244,2.8341937316534156,0.6630366327811874,-35.77744867346723,333,54.33698903290129,23.159340103430434,0.0,19.0,34,⚠️ Custo Zero (Sem Fricção)
EXP_066,Long-Only | 126d (6M) | 30% | Trimestral | 5 bps,Long-Only,126,126d (6M),30%,0.3,Trimestral,5.0,154.44357738736718,12.046996772175689,17.458584921481236,0.163581628715886,0.15539459058684146,0.33672039843103224,2.783805407935036,0.6630444555358812,-35.77744867346722,333,54.0877367896311,23.159340103430434,0.39370878175831736,19.0,34,✅ Robusto
EXP_067,Long-Only | 126d (6M) | 30% | Trimestral | 15 bps,Long-Only,126,126d (6M),30%,0.3,Trimestral,15.0,152.57165764742032,11.946270404439542,17.45988068740326,0.15780047058294813,0.14986558428887173,0.33390503927405424,2.6830773389322844,0.6630601010452687,-35.77744867346725,333,53.6889332003988,23.159340103430434,1.1811263452749523,19.0,34,✅ Robusto
EXP_068,Long-Only | 126d (6M) | 30% | Trimestral | 25 bps,Long-Only,126,126d (6M),30%,0.3,Trimestral,25.0,150.71303462798818,11.845608786009155,17.461323233160286,0.1520226007455645,0.1443422231238572,0.33109148989692877,2.582414019235293,0.6630757465546562,-35.777448673467205,333,53.33998005982053,23.159340103430434,1.968543908791587,19.0,34,✅ Robusto
EXP_069,Long-Only | 126d (6M) | 30% | Mensal | 0 bps,Long-Only,126,126d (6M),30%,0.3,Mensal,0.0,174.9191844796833,12.850785971855228,17.30102497868753,0.2142972193048476,0.2053955017140112,0.37751842737911506,3.677195890941206,0.6549299172957861,-34.04015549935021,331,55.501222493887525,11.482087238324715,0.0,18.95098039215686,102,⚠️ Custo Zero (Sem Fricção)
EXP_070,Long-Only | 126d (6M) | 30% | Mensal | 5 bps,Long-Only,126,126d (6M),30%,0.3,Mensal,5.0,173.3842076027443,12.775276536633239,17.300587098070693,0.209938084080366,0.20128354850789804,0.3751744664946848,3.6016870848549654,0.6549163480232466,-34.051561813347,331,55.256723716381416,11.482087238324715,0.58558644915456,18.95098039215686,102,✅ Robusto
EXP_071,Long-Only | 126d (6M) | 30% | Mensal | 15 bps,Long-Only,126,126d (6M),30%,0.3,Mensal,15.0,170.33958759670753,12.624392796702777,17.29980524584013,0.20122587043233164,0.19296331638885658,0.3704952466539398,3.450804603195997,0.6548892094781671,-34.074371832615064,331,55.012224938875306,11.482087238324715,1.7567593474636796,18.95098039215686,102,✅ Robusto
EXP_072,Long-Only | 126d (6M) | 30% | Mensal | 25 bps,Long-Only,126,126d (6M),30%,0.3,Mensal,25.0,167.32844035508623,12.473689072621298,17.299148619478196,0.19252188174581839,0.18464833281366247,0.3658276041481938,3.3001021373860135,0.6548620709330876,-34.09717837358251,331,54.52322738386308,11.482087238324715,2.927932245772799,18.95098039215686,102,✅ Robusto
EXP_073,Long-Short (BAB) | 126d (6M) | 10% | Trimestral | 0 bps,Long-Short (BAB),126,126d (6M),10%,0.1,Trimestral,0.0,148.43403035726195,11.721281307411413,26.875457925736185,0.09414493694424837,0.09469020149117635,0.19523761591867386,2.6036419693520467,-0.6755085880712118,-60.035978478112064,729,48.00598205383849,45.026354453029924,0.0,19.0,34,⚠️ Custo Zero (Sem Fricção)
EXP_074,Long-Short (BAB) | 126d (6M) | 10% | Trimestral | 5 bps,Long-Short (BAB),126,126d (6M),10%,0.1,Trimestral,5.0,148.37985621481172,11.71831375425918,26.875390068230224,0.09403475567044747,0.09457905862871795,0.19521275866778728,2.600673903804563,-0.6755038758851989,-60.028421473216234,729,48.00598205383849,45.026354453029924,0.7654480257015086,19.0,34,✅ Robusto
EXP_075,Long-Short (BAB) | 126d (6M) | 10% | Trimestral | 15 bps,Long-Short (BAB),126,126d (6M),10%,0.1,Trimestral,15.0,148.27145210378987,11.712373882790716,26.87527098015943,0.09381415610681146,0.09435653164018777,0.1951629490210746,2.594733007545599,-0.6754944515131726,-60.013306529437415,729,48.00598205383849,45.026354453029924,2.2963440771045263,19.0,34,✅ Robusto
EXP_076,Long-Short (BAB) | 126d (6M) | 10% | Trimestral | 25 bps,Long-Short (BAB),126,126d (6M),10%,0.1,Trimestral,25.0,148.16297366711328,11.706427658289464,26.87517406158337,0.09359324099187213,0.09413368348838552,0.19511301243723705,2.5887857582538447,-0.6754850271411464,-59.998190341380365,729,48.05583250249252,45.026354453029924,3.827240128507544,19.0,34,✅ Robusto
EXP_077,Long-Short (BAB) | 126d (6M) | 10% | Mensal | 0 bps,Long-Short (BAB),126,126d (6M),10%,0.1,Mensal,0.0,95.0350740554732,8.313204964000587,26.926576633904066,-0.030825287413368777,-0.030960391909194956,0.13286940075014803,-0.798968113379563,-0.6697191160162421,-62.566737842319384,1010,47.62836185819071,23.122514618030014,0.0,18.95098039215686,102,⚠️ Custo Zero (Sem Fricção)
